Diwali Date-2020,,PM-2.5,Day-1,Year,Day,,
16/11/20 19:00,16/11/20 20:00,76.36,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 20:00,16/11/20 21:00,69.94,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 21:00,16/11/20 22:00,73.33,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 22:00,16/11/20 23:00,81.66,2-Day Post Diwali,2020,2-Day Post ,,
17/11/20 0:00,17/11/20 1:00,45.9,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 1:00,17/11/20 2:00,33.6,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 2:00,17/11/20 3:00,30.97,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 3:00,17/11/20 4:00,50.18,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 4:00,17/11/20 5:00,46.58,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 5:00,17/11/20 6:00,43.63,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 6:00,17/11/20 7:00,49.47,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 7:00,17/11/20 8:00,52.8,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 8:00,17/11/20 9:00,64.44,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 9:00,17/11/20 10:00,72.73,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 10:00,17/11/20 11:00,69.6,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 11:00,17/11/20 12:00,82.29,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 13:00,17/11/20 14:00,23.8,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 14:00,17/11/20 15:00,29.89,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 15:00,17/11/20 16:00,44.18,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 16:00,17/11/20 17:00,62.35,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 17:00,17/11/20 18:00,58.55,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 18:00,17/11/20 19:00,65.29,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 19:00,17/11/20 20:00,58.97,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 20:00,17/11/20 21:00,74.95,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 21:00,17/11/20 22:00,73.89,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 22:00,17/11/20 23:00,93.81,3-Day Post Diwali,2020,3-Day Post ,,
24/10/19 0:00,24/10/19 1:00,137.42,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 1:00,24/10/19 2:00,109.09,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 2:00,24/10/19 3:00,91.26,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 3:00,24/10/19 4:00,68.16,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 4:00,24/10/19 5:00,57.75,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 5:00,24/10/19 6:00,64.84,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 6:00,24/10/19 7:00,74.69,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 7:00,24/10/19 8:00,65.2,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 8:00,24/10/19 9:00,99.37,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 9:00,24/10/19 10:00,100.37,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 10:00,24/10/19 11:00,105.82,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 11:00,24/10/19 12:00,85.95,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 12:00,24/10/19 13:00,81.56,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 13:00,24/10/19 14:00,47.51,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 14:00,24/10/19 15:00,47.53,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 15:00,24/10/19 16:00,74.65,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 18:00,24/10/19 19:00,38.58,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 19:00,24/10/19 20:00,70.07,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 20:00,24/10/19 21:00,81.32,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 21:00,24/10/19 22:00,91.38,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 22:00,24/10/19 23:00,86.55,3-Day Pre Diwali,2019,3-Day Pre ,,
25/10/19 0:00,25/10/19 1:00,90.96,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 1:00,25/10/19 2:00,99.15,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 2:00,25/10/19 3:00,109.45,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 3:00,25/10/19 4:00,107.03,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 4:00,25/10/19 5:00,108.25,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 6:00,25/10/19 7:00,146.71,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 7:00,25/10/19 8:00,152.67,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 8:00,25/10/19 9:00,166.76,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 9:00,25/10/19 10:00,144.01,2-Day Pre Diwali,2019,2-Day Pre ,,
